Date,Price,Open,High,Low,Vol.,Volume,Change %
2021-02-23,"40,164.86","40,154.09","40,229.25","40,132.11",337.95M,337950000,0.03%
2021-02-22,"40,154.09","40,186.70","40,235.62","40,146.46",289.34M,289340000,-0.08%
2021-02-19,"40,186.70","40,212.19","40,235.53","40,128.24",307.79M,307790000,-0.06%
2021-02-18,"40,212.19","40,465.32","40,473.43","40,196.50",426.27M,426270000,-0.63%
2021-02-17,"40,465.32","40,494.35","40,581.13","40,237.64",244.20M,244200000,-0.07%
2021-02-16,"40,494.35","40,571.67","40,641.60","40,494.35",356.43M,356430000,-0.19%
2021-02-15,"40,573.31","40,439.85","40,573.31","40,361.30",206.24M,206240000,0.33%
2021-02-12,"40,439.85","41,014.30","41,024.81","39,918.38",395.42M,395420000,-1.40%
2021-02-11,"41,014.30","40,697.56","41,016.74","40,326.21",1.27B,1270000000,0.78%
2021-02-10,"40,696.01","41,510.16","41,510.16","40,659.98",366.81M,366810000,-1.96%
2021-02-09,"41,510.16","41,564.31","41,573.18","41,510.16",305.91M,305910000,-0.14%
2021-02-08,"41,566.86","41,709.09","41,737.05","41,536.70",340.49M,340490000,-0.34%
2021-02-05,"41,709.09","41,785.80","41,785.80","41,522.14",482.32M,482320000,-0.18%
2021-02-04,"41,785.80","42,000.01","42,033.76","41,758.03",629.53M,629530000,-0.51%
2021-02-03,"42,000.01","42,043.79","42,043.79","41,953.90",504.94M,504940000,-0.10%
2021-02-02,"42,043.79","42,357.90","42,374.14","42,023.46",563.22M,563220000,-0.74%
2021-02-01,"42,357.90","42,412.66","42,472.56","42,338.85",586.93M,586930000,-0.13%
2021-01-29,"42,412.66","42,170.25","42,444.22","42,126.97",669.87M,669870000,0.58%
2021-01-28,"42,169.41","41,928.57","42,192.82","41,924.82",555.52M,555520000,0.57%
2021-01-27,"41,930.73","41,584.94","41,936.48","41,584.94",543.74M,543740000,0.83%
2021-01-26,"41,584.94","41,088.96","41,589.56","41,087.40",468.03M,468030000,1.21%
2021-01-25,"41,088.96","41,001.99","41,092.23","40,973.85",332.68M,332680000,0.21%
2021-01-22,"41,001.99","41,100.62","41,100.62","40,997.06",591.46M,591460000,-0.24%
2021-01-21,"41,099.15","41,147.72","41,157.70","40,997.39",1.12B,1120000000,-0.12%
2021-01-20,"41,147.72","41,051.63","41,147.72","41,050.20",649.65M,649650000,0.23%
2021-01-19,"41,051.63","41,080.94","41,109.33","41,034.75",912.86M,912860000,-0.07%
2021-01-18,"41,082.38","41,176.14","41,234.99","40,830.65",1.01B,1010000000,-0.23%
2021-01-15,"41,176.14","40,963.14","41,202.65","40,963.14",666.73M,666730000,0.52%
2021-01-14,"40,963.14","40,345.72","40,963.14","40,345.72",809.36M,809360000,1.54%
2021-01-13,"40,341.05","40,295.95","40,553.56","40,295.95",468.33M,468330000,0.11%
2021-01-12,"40,295.95","40,150.78","40,295.95","39,724.26",1.17B,1170000000,0.36%
2021-01-11,"40,150.78","40,120.22","40,150.78","40,095.09",335.64M,335640000,0.07%
2021-01-08,"40,123.71","40,590.85","40,657.30","40,004.27",333.31M,333310000,-1.15%
2021-01-07,"40,590.85","40,465.15","40,620.02","40,310.36",229.88M,229880000,0.34%
2021-01-06,"40,452.07","40,396.14","40,465.15","40,388.30",249.53M,249530000,0.14%
2021-01-05,"40,396.14","41,148.02","41,149.86","40,142.94",465.68M,465680000,-1.83%
2021-01-04,"41,147.39","40,287.71","41,154.33","40,284.00",211.88M,211880000,2.18%
2020-12-31,"40,270.72","39,515.31","40,279.29","39,507.24",710.56M,710560000,1.92%
2020-12-30,"39,512.31","39,110.17","39,601.97","39,107.50",372.93M,372930000,1.03%
2020-12-29,"39,110.17","38,800.01","39,134.37","38,775.26",722.57M,722570000,0.80%
2020-12-24,"38,800.01","38,803.74","38,873.10","38,798.18",389.66M,389660000,-0.01%
2020-12-23,"38,803.74","37,893.61","38,809.25","37,893.19",467.13M,467130000,2.40%
2020-12-22,"37,893.61","37,443.40","37,952.36","37,443.40",442.22M,442220000,1.20%
2020-12-21,"37,443.40","36,798.74","37,494.76","36,798.74",427.06M,427060000,1.74%
2020-12-18,"36,804.75","36,239.62","36,808.29","36,239.62",426.33M,426330000,1.56%
2020-12-17,"36,239.62","35,493.15","36,239.62","35,493.15",343.64M,343640000,2.10%
2020-12-16,"35,493.15","35,225.22","35,554.11","35,225.22",648.99M,648990000,0.76%
2020-12-15,"35,225.22","34,843.44","35,227.32","34,834.78",264.23M,264230000,1.10%
2020-12-14,"34,843.44","34,250.74","34,877.29","34,206.48",208.07M,208070000,1.73%
2020-12-11,"34,250.74","34,576.49","34,666.79","34,145.13",796.07M,796070000,-0.94%
2020-12-10,"34,577.26","35,021.26","35,021.26","34,501.85",553.95M,553950000,-1.27%
2020-12-09,"35,021.26","35,033.74","35,039.80","35,001.14",283.09M,283090000,-0.04%
2020-12-08,"35,033.74","35,064.36","35,081.67","35,020.79",307.72M,307720000,-0.09%
2020-12-07,"35,064.36","35,137.99","35,140.81","35,064.36",324.31M,324310000,-0.21%
2020-12-04,"35,137.99","34,968.94","35,140.80","34,455.93",292.86M,292860000,0.48%
2020-12-03,"34,968.94","35,056.82","35,195.09","34,952.99",289.39M,289390000,-0.25%
2020-12-02,"35,056.82","35,147.62","35,172.68","35,031.65",368.96M,368960000,-0.26%
2020-12-01,"35,147.62","35,048.15","35,204.16","35,048.15",308.08M,308080000,0.30%
2020-11-30,"35,042.14","34,885.51","35,184.93","34,765.94",415.53M,415530000,0.45%
2020-11-27,"34,885.51","34,803.00","34,885.51","34,748.26",190.27M,190270000,0.24%
2020-11-26,"34,803.00","34,769.00","34,882.52","34,768.73",257.54M,257540000,0.10%
2020-11-25,"34,769.00","34,340.56","34,820.77","34,340.56",434.92M,434920000,1.25%
2020-11-24,"34,340.56","34,119.74","34,343.56","34,095.69",365.41M,365410000,0.64%
2020-11-23,"34,121.78","34,136.82","34,250.45","33,582.38",567.57M,567570000,-0.04%
2020-11-20,"34,136.82","34,643.65","34,665.08","34,064.25",344.80M,344800000,-1.46%
2020-11-19,"34,643.65","34,818.01","34,869.53","34,633.36",364.92M,364920000,-0.50%
2020-11-18,"34,818.01","34,242.83","34,832.04","34,226.75",661.13M,661130000,1.68%
2020-11-17,"34,242.83","34,769.66","34,769.66","34,126.23",840.88M,840880000,-1.59%
2020-11-16,"34,795.82","35,041.40","35,245.62","34,685.94",668.53M,668530000,-0.69%
2020-11-13,"35,037.46","35,344.01","35,814.18","34,552.60",1.24B,1240000000,-0.86%
2020-11-12,"35,342.46","33,291.27","35,342.46","33,291.27",1.19B,1190000000,6.23%
2020-11-11,"33,268.36","32,648.02","33,268.36","32,585.04",858.16M,858160000,1.90%
2020-11-10,"32,647.10","32,243.05","32,647.10","32,226.71",578.78M,578780000,1.25%
2020-11-09,"32,243.05","31,016.17","32,243.05","31,016.17",636.01M,636010000,3.96%
2020-11-06,"31,016.17","30,738.92","31,016.17","30,509.12",497.95M,497950000,0.90%
2020-11-05,"30,738.92","30,741.88","30,772.77","30,722.48",430.12M,430120000,-0.01%
2020-11-04,"30,741.88","30,733.47","30,761.50","30,724.21",286.45M,286450000,0.03%
2020-11-03,"30,733.47","30,479.39","30,735.46","30,408.13",336.04M,336040000,0.83%
2020-11-02,"30,479.39","30,527.69","30,554.27","30,364.15",376.11M,376110000,-0.17%
2020-10-30,"30,530.69","29,439.35","30,530.69","29,439.35",807.80M,807800000,3.71%
2020-10-28,"29,437.60","28,980.29","29,444.12","28,971.44",375.25M,375250000,1.58%
2020-10-27,"28,980.29","28,777.96","28,980.29","28,775.59",385.57M,385570000,0.70%
2020-10-26,"28,777.96","28,697.06","28,777.96","28,685.54",340.80M,340800000,0.28%
2020-10-23,"28,697.06","28,563.87","28,706.33","28,559.72",282.56M,282560000,0.47%
2020-10-22,"28,563.87","28,449.49","28,567.14","28,413.11",311.32M,311320000,0.40%
2020-10-21,"28,449.49","28,645.21","28,645.21","28,250.71",326.56M,326560000,-0.75%
2020-10-20,"28,665.82","28,658.31","28,720.49","28,567.07",297.29M,297290000,0.02%
2020-10-19,"28,659.07","28,650.44","28,680.68","28,588.24",287.30M,287300000,0.00%
2020-10-16,"28,659.45","28,344.04","28,680.87","28,313.57",489.09M,489090000,1.11%
2020-10-15,"28,344.04","28,354.14","28,364.47","28,333.06",330.66M,330660000,0.00%
2020-10-14,"28,344.33","28,344.04","28,381.27","28,332.51",218.42M,218420000,0.00%
2020-10-13,"28,344.04","28,337.49","28,351.51","28,299.61",535.83M,535830000,0.02%
2020-10-12,"28,337.49","28,415.31","28,440.82","28,170.72",369.06M,369060000,-0.27%
2020-10-09,"28,415.31","28,546.22","28,721.73","28,371.70",384.04M,384040000,-0.46%
2020-10-08,"28,546.22","28,634.35","28,664.83","28,398.74",568.74M,568740000,-0.31%
2020-10-07,"28,634.35","28,945.41","29,171.29","28,484.87",832.88M,832880000,-0.95%
2020-10-06,"28,909.37","27,561.51","28,909.37","27,561.51",749.47M,749470000,4.92%
2020-10-05,"27,554.56","26,985.77","27,563.91","26,985.77",603.89M,603890000,2.11%
2020-10-02,"26,985.77","26,831.76","26,985.77","26,830.59",459.79M,459790000,0.55%
2020-09-30,"26,837.42","26,612.12","26,862.21","26,612.12",322.76M,322760000,0.85%
2020-09-29,"26,611.96","26,507.84","26,611.96","26,427.58",413.10M,413100000,0.39%
2020-09-28,"26,507.84","26,319.34","26,512.05","26,319.34",336.73M,336730000,0.72%
2020-09-25,"26,319.47","25,987.14","26,327.17","25,987.14",335.74M,335740000,1.28%
2020-09-24,"25,987.14","25,783.02","26,021.75","25,783.02",359.27M,359270000,0.79%
2020-09-23,"25,783.02","25,654.90","25,785.41","25,631.12",414.16M,414160000,0.50%
2020-09-22,"25,654.90","25,574.35","25,655.18","25,525.93",262.05M,262050000,0.31%
2020-09-21,"25,574.35","25,572.57","25,592.86","25,564.36",196.11M,196110000,0.01%
2020-09-18,"25,572.57","25,532.74","25,572.57","25,505.27",193.49M,193490000,0.15%
2020-09-17,"25,533.35","25,550.31","25,551.56","25,507.84",231.19M,231190000,-0.10%
2020-09-16,"25,558.81","25,598.53","25,606.02","25,535.41",211.45M,211450000,-0.15%
2020-09-15,"25,597.96","25,605.59","25,618.65","25,573.96",245.14M,245140000,-0.03%
2020-09-14,"25,605.59","25,591.95","25,616.99","25,577.33",256.97M,256970000,0.05%
2020-09-11,"25,591.95","25,520.97","25,592.22","25,514.22",212.57M,212570000,0.28%
2020-09-10,"25,520.97","25,424.91","25,540.91","25,403.33",234.15M,234150000,0.38%
2020-09-09,"25,424.91","25,493.88","25,496.73","25,414.42",269.62M,269620000,-0.28%
2020-09-08,"25,497.32","25,585.67","25,596.21","25,490.01",251.96M,251960000,-0.33%
2020-09-07,"25,582.23","25,605.64","25,631.16","25,573.24",253.96M,253960000,-0.09%
2020-09-04,"25,605.64","25,534.87","25,618.48","25,529.56",418.16M,418160000,0.37%
2020-09-03,"25,511.02","25,460.00","25,511.02","25,460.00",229.41M,229410000,0.20%
2020-09-02,"25,460.00","25,404.12","25,461.66","25,388.82",178.29M,178290000,0.18%
2020-09-01,"25,413.76","25,327.13","25,417.61","25,327.13",,#VALUE!,0.34%
2020-08-31,"25,327.13","25,303.68","25,334.11","25,289.10",127.28M,127280000,0.07%
2020-08-28,"25,309.37","25,304.25","25,312.81","25,289.35",137.05M,137050000,0.05%
2020-08-27,"25,297.55","25,330.10","25,330.10","25,291.33",249.13M,249130000,-0.13%
2020-08-26,"25,330.10","25,295.01","25,332.51","25,283.31",180.55M,180550000,0.15%
2020-08-25,"25,291.78","25,228.38","25,291.78","25,201.79",251.34M,251340000,0.25%
2020-08-24,"25,229.12","25,221.87","25,232.68","25,159.82",251.19M,251190000,0.03%
2020-08-21,"25,221.87","25,203.36","25,273.33","25,203.36",158.60M,158600000,0.07%
2020-08-20,"25,204.58","25,174.60","25,204.58","25,172.10",179.55M,179550000,0.13%
2020-08-19,"25,171.32","25,136.49","25,180.40","25,131.56",180.01M,180010000,0.14%
2020-08-18,"25,136.49","25,139.57","25,151.36","25,123.28",271.00M,271000000,-0.03%
2020-08-17,"25,143.68","25,199.84","25,234.49","25,143.68",161.23M,161230000,-0.22%
2020-08-14,"25,199.84","25,236.97","25,236.97","25,168.43",482.42M,482420000,-0.15%
2020-08-13,"25,236.97","25,141.48","25,239.91","25,067.72",258.05M,258050000,0.38%
2020-08-12,"25,141.48","24,883.70","25,147.52","24,852.43",204.42M,204420000,1.04%
2020-08-11,"24,883.70","25,027.61","25,067.18","24,825.09",205.97M,205970000,-0.58%
2020-08-10,"25,027.61","25,041.89","25,046.29","24,952.17",175.23M,175230000,-0.06%
2020-08-07,"25,041.89","24,944.45","25,047.70","24,944.45",166.94M,166940000,0.45%
2020-08-06,"24,930.34","24,882.04","24,931.91","24,820.50",173.72M,173720000,0.19%
2020-08-05,"24,882.04","24,841.94","24,910.02","24,841.94",303.28M,303280000,0.16%
2020-08-04,"24,841.94","24,766.12","24,868.82","24,764.26",154.47M,154470000,0.31%
2020-08-03,"24,766.12","24,710.93","24,776.08","24,690.75",186.47M,186470000,0.29%
2020-07-29,"24,693.73","24,650.16","24,713.57","24,646.84",101.53M,101530000,0.18%
2020-07-28,"24,650.16","24,799.05","24,800.81","24,646.53",150.37M,150370000,-0.54%
2020-07-27,"24,783.61","24,427.73","24,788.17","24,427.73",170.00M,170000000,1.46%
2020-07-24,"24,427.73","24,512.27","24,536.82","24,409.99",174.19M,174190000,-0.34%
2020-07-23,"24,512.27","24,173.53","24,615.65","24,170.97",164.07M,164070000,1.40%
2020-07-22,"24,173.53","24,174.45","24,192.52","24,166.96",266.06M,266060000,0.00%
2020-07-21,"24,174.45","24,269.58","24,303.76","24,130.23",304.19M,304190000,-0.41%
2020-07-20,"24,273.42","24,287.66","24,301.11","24,273.42",305.10M,305100000,-0.06%
2020-07-17,"24,287.66","24,323.50","24,336.59","24,256.64",160.47M,160470000,-0.17%
2020-07-16,"24,330.06","24,129.84","24,330.51","24,112.40",207.40M,207400000,0.82%
2020-07-15,"24,132.30","24,114.59","24,210.22","24,071.13",208.21M,208210000,0.06%
2020-07-14,"24,117.40","24,200.60","24,207.00","24,095.41",208.20M,208200000,-0.34%
2020-07-13,"24,200.60","24,306.36","24,306.36","24,162.70",231.23M,231230000,-0.44%
2020-07-10,"24,306.36","24,276.56","24,315.39","24,251.26",131.63M,131630000,0.12%
2020-07-09,"24,276.56","24,278.07","24,336.45","24,276.56",192.03M,192030000,-0.01%
2020-07-08,"24,278.07","24,097.48","24,278.07","24,097.48",232.61M,232610000,0.75%
2020-07-07,"24,098.08","24,026.05","24,152.67","24,026.05",155.53M,155530000,-0.05%
2020-07-06,"24,109.65","24,336.12","24,352.20","23,961.14",189.67M,189670000,-0.93%
2020-07-03,"24,336.12","24,374.38","24,416.05","24,332.36",144.30M,144300000,-0.16%
2020-07-02,"24,374.40","24,594.99","24,612.25","24,357.75",180.10M,180100000,-0.90%
2020-07-01,"24,594.99","24,479.16","24,723.26","24,479.16",198.01M,198010000,0.47%
2020-06-30,"24,479.16","24,858.82","24,859.88","24,448.23",280.67M,280670000,-1.53%
2020-06-29,"24,858.82","24,828.96","24,858.82","24,740.06",158.45M,158450000,0.12%
2020-06-26,"24,828.96","24,625.17","24,829.17","24,551.35",127.19M,127190000,0.83%
2020-06-25,"24,625.17","24,654.99","24,662.27","24,619.84",130.28M,130280000,-0.12%
2020-06-24,"24,654.99","24,750.06","24,771.97","24,636.63",189.23M,189230000,-0.39%
2020-06-23,"24,751.32","24,753.92","24,756.88","24,649.39",167.90M,167900000,-0.11%
2020-06-22,"24,779.26","24,826.75","24,877.30","24,651.30",124.66M,124660000,-0.19%
2020-06-19,"24,826.75","24,933.41","25,123.72","24,819.12",174.67M,174670000,-0.43%
2020-06-18,"24,933.41","24,972.89","25,054.28","24,913.26",171.16M,171160000,-0.16%
2020-06-17,"24,972.94","24,930.88","24,973.59","24,816.45",265.95M,265950000,0.17%
2020-06-16,"24,930.88","24,954.89","25,046.42","24,930.65",200.37M,200370000,-0.10%
2020-06-15,"24,956.04","25,182.67","25,196.62","24,757.68",237.63M,237630000,-0.90%
2020-06-11,"25,182.67","25,215.04","25,302.85","25,182.67",337.13M,337130000,-0.13%
2020-06-10,"25,215.04","25,335.15","25,351.29","25,130.61",266.65M,266650000,-0.47%
2020-06-09,"25,335.15","25,249.96","25,368.78","25,249.96",268.74M,268740000,0.34%
2020-06-08,"25,250.20","25,016.30","25,412.54","25,016.30",230.49M,230490000,0.93%
2020-06-05,"25,016.30","25,312.05","25,325.87","24,875.56",214.50M,214500000,-1.17%
2020-06-04,"25,312.05","25,407.96","25,434.62","25,312.05",270.18M,270180000,-0.38%
2020-06-03,"25,407.96","25,383.43","25,445.47","25,308.50",353.26M,353260000,0.10%
2020-06-02,"25,383.43","25,316.24","25,458.53","25,316.24",377.86M,377860000,0.25%
2020-06-01,"25,321.29","25,267.82","25,396.10","25,180.37",253.13M,253130000,0.21%
2020-05-29,"25,267.82","25,166.01","25,393.03","25,164.06",325.59M,325590000,0.40%
2020-05-28,"25,166.01","25,229.02","25,463.11","25,131.33",348.21M,348210000,-0.22%
2020-05-27,"25,221.29","25,204.75","25,469.93","25,054.11",581.59M,581590000,0.07%
2020-05-22,"25,204.75","24,758.39","25,205.18","24,742.12",259.57M,259570000,1.80%
2020-05-21,"24,758.39","24,452.23","24,769.40","24,426.56",350.66M,350660000,1.25%
2020-05-20,"24,452.23","24,202.87","24,467.28","24,185.62",436.77M,436770000,1.03%
2020-05-19,"24,202.87","23,943.29","24,205.89","23,943.29",339.75M,339750000,0.80%
2020-05-18,"24,010.19","23,874.77","24,010.19","23,871.33",330.98M,330980000,0.58%
2020-05-15,"23,871.33","23,872.44","23,931.49","23,840.80",221.44M,221440000,-0.09%
2020-05-14,"23,892.92","23,709.44","23,892.92","23,709.20",182.74M,182740000,0.77%
2020-05-13,"23,709.44","23,695.90","23,759.84","23,695.90",159.19M,159190000,0.06%
2020-05-12,"23,695.90","23,950.83","23,982.29","23,542.33",155.65M,155650000,-1.06%
2020-05-11,"23,950.83","24,045.40","24,058.15","23,949.18",204.72M,204720000,-0.39%
2020-05-08,"24,045.40","24,361.14","24,403.77","24,030.65",208.56M,208560000,-1.27%
2020-05-07,"24,354.25","24,143.37","24,369.45","24,039.70",431.57M,431570000,0.87%
2020-05-06,"24,143.37","23,815.34","24,154.65","23,807.14",426.63M,426630000,1.40%
2020-05-05,"23,809.31","23,089.86","23,809.39","23,075.49",343.95M,343950000,3.12%
2020-05-04,"23,089.86","23,021.01","23,121.74","22,940.24",249.83M,249830000,0.30%
2020-04-30,"23,021.01","22,868.40","23,045.44","22,636.59",359.46M,359460000,0.67%
2020-04-29,"22,868.40","22,727.87","22,884.49","22,727.87",277.29M,277290000,0.62%
2020-04-28,"22,727.87","22,616.28","22,761.25","22,616.28",266.62M,266620000,0.49%
2020-04-27,"22,616.28","22,599.38","22,649.20","22,584.64",106.06M,106060000,0.07%
2020-04-24,"22,599.38","22,470.79","22,672.22","22,458.37",211.53M,211530000,0.57%
2020-04-23,"22,470.79","22,780.30","22,805.14","22,407.60",201.48M,201480000,-1.36%
2020-04-22,"22,780.30","22,629.92","22,799.78","22,629.92",185.21M,185210000,0.66%
2020-04-21,"22,629.92","22,920.41","22,920.41","22,612.97",248.16M,248160000,-1.27%
2020-04-20,"22,920.56","22,921.59","23,143.34","22,920.13",343.24M,343240000,0.00%
2020-04-17,"22,921.59","22,554.84","22,927.88","22,524.23",231.60M,231600000,1.63%
2020-04-16,"22,554.84","22,539.94","22,634.28","22,380.94",379.11M,379110000,0.07%
2020-04-15,"22,539.94","21,879.95","22,543.48","21,873.47",326.39M,326390000,3.02%
2020-04-14,"21,879.95","21,384.03","21,883.39","21,239.02",264.74M,264740000,2.32%
2020-04-09,"21,384.03","21,073.26","21,385.85","20,985.63",314.85M,314850000,1.47%
2020-04-08,"21,073.26","20,925.19","21,150.01","20,925.19",346.41M,346410000,0.71%
2020-04-07,"20,925.19","20,683.16","20,925.19","20,667.55",342.57M,342570000,1.24%
2020-04-06,"20,669.38","21,094.62","21,208.95","20,651.59",336.42M,336420000,-2.02%
2020-04-03,"21,094.62","21,166.38","21,197.32","20,769.37",235.29M,235290000,-0.13%
2020-04-02,"21,121.20","21,100.54","21,170.00","20,790.71",255.53M,255530000,0.10%
2020-04-01,"21,100.54","21,309.50","21,317.98","20,779.13",154.35M,154350000,-0.94%
2020-03-31,"21,300.47","21,330.79","21,340.64","21,270.26",422.00M,422000000,-0.14%
2020-03-30,"21,330.79","21,828.65","21,828.65","21,330.79",466.87M,466870000,-2.43%
2020-03-27,"21,861.78","21,842.18","21,885.05","21,803.89",251.41M,251410000,0.48%
2020-03-26,"21,757.47","21,729.48","21,903.00","21,696.88",172.16M,172160000,0.13%
2020-03-25,"21,729.48","21,743.47","21,814.74","21,663.32",233.07M,233070000,-0.05%
2020-03-24,"21,741.16","21,703.80","21,770.42","21,703.80",330.10M,330100000,0.19%
2020-03-23,"21,700.98","22,198.43","22,208.81","21,694.16",464.36M,464360000,-2.24%
2020-03-20,"22,198.43","22,072.56","22,211.67","22,035.11",379.48M,379480000,0.36%
2020-03-19,"22,118.90","22,785.19","22,785.19","22,118.90",525.85M,525850000,-2.94%
2020-03-18,"22,789.64","22,549.09","22,804.70","22,118.37",671.52M,671520000,1.09%
2020-03-17,"22,543.07","22,705.19","23,008.59","22,497.73",675.82M,675820000,-0.71%
2020-03-16,"22,705.19","22,745.39","22,797.39","22,618.36",551.48M,551480000,-0.13%
2020-03-13,"22,734.07","22,729.01","22,813.47","22,550.08",732.62M,732620000,0.17%
2020-03-12,"22,695.88","23,500.46","23,500.46","22,694.32",1.06B,1060000000,-3.72%
2020-03-11,"23,572.75","24,278.53","24,321.51","23,260.07",1.39B,1390000000,-3.35%
2020-03-10,"24,388.66","25,412.57","25,412.57","24,381.88",594.47M,594470000,-4.91%
2020-03-09,"25,647.54","26,141.24","26,141.24","25,648.45",185.49M,185490000,-2.41%
2020-03-06,"26,279.61","26,426.20","26,455.26","26,273.58",361.08M,361080000,-0.55%
2020-03-05,"26,426.20","26,418.82","26,626.07","26,408.25",431.90M,431900000,0.04%
2020-03-04,"26,415.54","26,283.35","26,438.78","26,256.24",307.66M,307660000,0.61%
2020-03-03,"26,255.11","25,816.57","26,344.55","25,816.57",387.42M,387420000,1.70%
2020-03-02,"25,816.57","26,143.02","26,170.58","25,816.57",325.26M,325260000,-1.53%
2020-02-28,"26,216.46","26,808.24","26,808.24","26,216.46",416.28M,416280000,-2.21%
2020-02-27,"26,808.24","26,974.38","26,977.40","26,796.43",231.52M,231520000,-0.62%
2020-02-26,"26,974.38","27,033.10","27,033.90","26,870.39",228.36M,228360000,-0.22%
2020-02-25,"27,033.10","27,041.03","27,105.46","27,031.71",241.71M,241710000,-0.03%
2020-02-24,"27,041.03","27,388.62","27,515.79","27,000.85",428.96M,428960000,-1.27%
2020-02-21,"27,388.62","27,568.91","27,614.65","27,236.53",421.22M,421220000,-0.65%
2020-02-20,"27,568.91","27,523.26","27,622.42","27,292.61",484.99M,484990000,0.17%
2020-02-19,"27,523.08","27,547.56","27,556.13","27,512.72",290.13M,290130000,-0.09%
2020-02-18,"27,547.56","27,570.94","27,570.94","27,527.51",168.07M,168070000,-0.08%
2020-02-17,"27,570.94","27,756.56","27,818.09","27,507.99",134.61M,134610000,-0.67%
2020-02-14,"27,755.87","27,864.84","27,879.31","27,675.52",132.51M,132510000,-0.39%
2020-02-13,"27,864.84","27,881.45","27,916.64","27,686.34",150.72M,150720000,-0.05%
2020-02-12,"27,878.43","27,871.90","27,919.10","27,866.46",152.34M,152340000,0.02%
2020-02-11,"27,871.90","27,769.07","27,936.16","27,637.33",276.27M,276270000,0.36%
2020-02-10,"27,773.20","28,067.09","28,119.19","27,772.16",200.16M,200160000,-1.05%
2020-02-07,"28,067.09","28,140.41","28,195.75","28,054.73",303.93M,303930000,-0.26%
2020-02-06,"28,140.41","28,093.76","28,385.36","27,949.15",317.19M,317190000,0.17%
2020-02-05,"28,093.76","28,432.27","28,506.63","28,032.23",350.21M,350210000,-1.19%
2020-02-04,"28,432.27","28,533.40","28,540.30","28,415.12",254.85M,254850000,-0.35%
2020-02-03,"28,533.40","28,843.53","28,843.53","28,389.60",246.51M,246510000,-1.08%
2020-01-31,"28,843.53","29,035.55","29,096.29","28,817.45",348.56M,348560000,-0.65%
2020-01-30,"29,030.93","29,110.90","29,222.83","28,898.74",274.43M,274430000,-0.27%
2020-01-29,"29,110.90","29,378.63","29,381.95","29,054.23",242.76M,242760000,-0.91%
2020-01-28,"29,378.63","29,525.56","29,529.60","29,347.09",250.93M,250930000,-0.59%
2020-01-27,"29,552.99","29,628.84","29,648.35","29,552.99",444.01M,444010000,-0.26%
2020-01-24,"29,628.84","29,628.84","29,628.84","29,628.84",,#VALUE!,0.13%
2020-01-23,"29,591.29","29,591.29","29,591.29","29,591.29",,#VALUE!,0.45%
2020-01-22,"29,458.21","29,461.20","29,488.93","29,244.41",315.67M,315670000,-0.02%
2020-01-21,"29,462.76","29,713.61","29,723.75","29,360.13",272.84M,272840000,-0.83%
2020-01-20,"29,710.56","29,618.52","29,713.84","29,545.93",266.95M,266950000,0.31%
2020-01-17,"29,618.52","29,352.13","29,623.55","29,331.35",324.97M,324970000,0.91%
2020-01-16,"29,352.13","29,062.50","29,497.97","29,062.50",387.16M,387160000,1.00%
2020-01-15,"29,062.50","29,030.41","29,094.14","28,855.22",360.08M,360080000,-0.75%
2020-01-14,"29,283.15","29,633.58","29,812.97","29,037.12",666.78M,666780000,-1.18%
2020-01-13,"29,633.58","29,415.39","29,909.06","29,415.39",348.24M,348240000,0.74%
2020-01-10,"29,415.39","29,393.88","29,585.13","28,858.83",280.86M,280860000,0.07%
2020-01-09,"29,395.57","28,562.48","29,484.10","28,539.16",693.19M,693190000,2.92%
2020-01-08,"28,562.48","27,579.57","28,562.48","27,579.57",741.82M,741820000,3.54%
2020-01-07,"27,586.93","27,339.68","27,699.59","27,295.49",446.33M,446330000,0.90%
2020-01-06,"27,339.68","26,968.79","27,339.68","26,968.68",520.39M,520390000,1.38%
2020-01-03,"26,968.79","26,867.79","26,978.46","26,867.79",608.86M,608860000,0.38%
2020-01-02,"26,867.79","26,845.79","26,867.79","26,657.32",263.20M,263200000,0.10%
2019-12-31,"26,842.07","26,609.34","27,357.84","26,608.56",257.01M,257010000,0.87%
2019-12-30,"26,609.34","26,416.48","26,609.34","26,240.29",382.81M,382810000,0.73%
2019-12-27,"26,416.48","26,090.88","26,419.73","26,050.44",222.48M,222480000,1.24%
2019-12-24,"26,092.82","26,115.80","26,124.73","26,018.13",324.38M,324380000,-0.09%
2019-12-23,"26,115.80","26,526.35","26,526.35","26,102.21",188.79M,188790000,-1.55%
2019-12-20,"26,526.35","26,584.45","26,584.45","26,408.32",341.61M,341610000,-0.22%
2019-12-19,"26,584.45","26,665.73","26,684.74","26,536.01",304.21M,304210000,-0.30%
2019-12-18,"26,665.73","26,660.44","26,691.44","26,646.64",232.68M,232680000,0.02%
2019-12-17,"26,660.44","26,695.18","27,006.97","26,643.10",331.91M,331910000,-0.13%
2019-12-16,"26,695.18","26,536.21","26,695.18","26,521.38",170.52M,170520000,0.60%
2019-12-13,"26,536.21","26,569.80","26,627.68","26,503.92",155.34M,155340000,-0.13%
2019-12-12,"26,569.80","26,434.00","26,579.09","26,434.00",319.69M,319690000,0.51%
2019-12-11,"26,434.00","26,384.21","26,445.80","26,332.35",180.06M,180060000,0.19%
2019-12-10,"26,384.21","26,705.70","26,716.38","26,383.36",196.29M,196290000,-1.11%
